Job_Title,Job_Category
Data Scientist,Data Scientist
Healthcare Data Scientist,Data Scientist
Staff Data Scientist - Technology,Data Scientist
Customer Data Scientist,Data Scientist
Data Scientist - Health Data Analytics,Data Scientist
Senior Data Scientist / Machine Learning,Data Scientist
Data Scientist - Quantitative,Data Scientist
Digital Health Data Scientist,Data Scientist
Clinical Data Scientist,Data Scientist
Data Scientist / Machine Learning Expert,Data Scientist
Senior Data Scientist,Data Scientist
Data Scientist - Algorithms & Inference,Data Scientist
Lead Data Scientist,Data Scientist
College Hire - Data Scientist - Open to December 2019 Graduates,Data Scientist
"Data Scientist, Office of Data Science",Data Scientist
Data Science Analyst,Data Scientist
Senior Risk Data Scientist,Data Scientist
Data Scientist in Artificial Intelligence Early Career,Data Scientist
Data Scientist - Research,Data Scientist
"Director, Data Science",Data Scientist
Data Scientist SR,Data Scientist
R&D Sr Data Scientist,Data Scientist
Customer Data Scientist/Sales Engineer (Bay,Data Scientist
Insurance Data Scientist,Data Scientist
"Data Scientist, Rice University",Data Scientist
Ag Data Scientist,Data Scientist
Data Scientist II,Data Scientist
Data Analytics Manager,Data Scientist
Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics,Data Scientist
Data Scientist/ML Engineer,Data Scientist
Sr. Data Scientist,Data Scientist
Data Scientist - Bioinformatics,Data Scientist
Customer Data Scientist/Sales Engineer,Data Scientist
Senior Data Scientist Statistics,Data Scientist
Senior Spark Engineer (Data Science),Data Scientist
BI & Platform Analytics Manager,Data Scientist
"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",Data Scientist
"Data Scientist (Actuary, FSA or ASA)",Data Scientist
Staff Data Scientist,Data Scientist
"Risk and Analytics IT, Data Scientist",Data Scientist
Analytics Manager,Data Scientist
Principal Data Scientist with over 10 years experience,Data Scientist
Sr. Data Scientist II,Data Scientist
"VP, Data Science",Data Scientist
PL Actuarial-Lead Data Scientist,Data Scientist
Principal Data Scientist (Computational Chemistry),Data Scientist
Analytics Manager - Data Mart,Data Scientist
Senior Research Statistician- Data Scientist,Data Scientist
Associate Data Scientist/Computer Scientist,Data Scientist
"Sr. Data Scientist, Cyber-Security LT Contract",Data Scientist
"Data Scientist, Senior",Data Scientist
Senior Data Scientist: Causal & Predictive analytics AI Innovation Lab,Data Scientist
Computational Chemist/Data Scientist,Data Scientist
Product Engineer – Data Science,Data Scientist
Data Analytics Project Manager,Data Scientist
Senior Data Scientist - R&D Oncology,Data Scientist
"Director II, Data Science - GRM Actuarial",Data Scientist
Senior Insurance Data Scientist,Data Scientist
Senior Data Science Systems Engineer,Data Scientist
Revenue Analytics Manager,Data Scientist
"Senior Manager, Epidemiologic Data Scientist",Data Scientist
"Associate, Data Science, Internal Audit",Data Scientist
Senior LiDAR Data Scientist,Data Scientist
Managing Data Scientist/ML Engineer,Data Scientist
Product Engineer – Spatial Data Science and Statistical Analysis,Data Scientist
Sr Software Engineer (Data Scientist),Data Scientist
Senior Data Scientist Artificial Intelligence,Data Scientist
Senior Data Scientist 4 Artificial Intelligence,Data Scientist
"Director II, Data Science - GRS Predictive Analytics",Data Scientist
Geospatial Software Developer and Data Scientist,Data Scientist
Director Data Science,Data Scientist
Associate Machine Learning Engineer / Data Scientist May 2020 Undergrad,Data Scientist
Data Scientist Manager,Data Scientist
Senior Data Scientist - Algorithms,Data Scientist
Senior Data Scientist Oncology,Data Scientist
Principal Data Scientist,Data Scientist
Data Scientist - Alpha Insights,Data Scientist
Data Scientist - Systems Engineering,Data Scientist
Data Science Engineer - Mobile,Data Scientist
"Sr Expert Data Science, Advanced Visual Analytics (Associate level)",Data Scientist
Data Scientist - Sales,Data Scientist
"Principal, Data Science - Advanced Analytics",Data Scientist
Data Science Project Manager,Data Scientist
Data Science Manager,Data Scientist
Data Scientist in Translational Medicine,Data Scientist
Product Manager/Data Evangelist,Data Scientist
"Senior Data Scientist – Visualization, Novartis AI Innovation Lab",Data Scientist
Manager of Data Science,Data Scientist
Software Engineer (Data Scientist/Software Engineer) - SISW - MG,Data Scientist
"Manager, Safety Scientist, Medical Safety & Risk Management",Data Scientist
"Assistant Director/Director, Office of Data Science",Data Scientist
Data Scientist (Warehouse Automation),Data Scientist
Jr. Data Scientist,Data Scientist
Research Scientist,Other Scientist
"Scientist I/II, Biology",Other Scientist
Scientist,Other Scientist
Spectral Scientist/Engineer,Other Scientist
R&D Data Analysis Scientist,Other Scientist
Sr. Scientist II,Other Scientist
Project Scientist,Other Scientist
Associate Scientist,Other Scientist
"Scientist 2, QC Viral Vector",Other Scientist
Senior Research Scientist - Embedded System Development for DevOps,Other Scientist
Pricipal Scientist Molecular and cellular biologist,Other Scientist
Senior Scientist - Neuroscience,Other Scientist
Medical Lab Scientist,Other Scientist
"Scientist, Analytical Development",Other Scientist
Sr. Scientist - Digital & Image Analysis/Computational Pathology,Other Scientist
Principal Scientist - Immunologist,Other Scientist
MED TECH/LAB SCIENTIST - LABORATORY,Other Scientist
"Sr. Scientist, Quantitative Translational Sciences",Other Scientist
PV Scientist,Other Scientist
"Principal Scientist, Chemistry & Immunology",Other Scientist
"Scientist/Senior Scientist, Autoimmune",Other Scientist
"Principal Scientist, Hematology",Other Scientist
Medical Laboratory Scientist,Other Scientist
R&D Specialist/ Food Scientist,Other Scientist
MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB,Other Scientist
Food Scientist - Developer,Other Scientist
Staff Scientist-Downstream Process Development,Other Scientist
Medical Technologist / Clinical Laboratory Scientist,Other Scientist
Staff Scientist,Other Scientist
"Associate Scientist/Scientist, Process Analytical Technology - Small Molecule Analytical Chemistry",Other Scientist
RESEARCH SCIENTIST - BIOLOGICAL SAFETY,Other Scientist
Scientist Manufacturing - Kentucky BioProcessing,Other Scientist
Senior Scientist (Neuroscience),Other Scientist
"Scientist, Bacteriology",Other Scientist
Clinical Laboratory Scientist,Other Scientist
"Scientist, Molecular/Cellular Biologist",Other Scientist
Scientist - Analytical Services,Other Scientist
ENVIRONMENTAL ENGINEER/SCIENTIST,Other Scientist
Senior Scientist - Regulatory Submissions,Other Scientist
Scientist - Biomarker and Flow Cytometry,Other Scientist
"Associate Scientist, LC/MS Biologics",Other Scientist
Sr. Scientist Method Development,Other Scientist
"Research Scientist, Immunology - Cancer Biology",Other Scientist
"Project Scientist - Auton Lab, Robotics Institute",Other Scientist
Associate Environmental Scientist - Wildlife Biologist,Other Scientist
"Scientist, Pharmacometrics",Other Scientist
Staff Scientist- Upstream PD,Other Scientist
Scientist Manufacturing Pharma - Kentucky BioProcessing,Other Scientist
"Senior Scientist, Cell Pharmacology/Assay Development",Other Scientist
Medical Lab Scientist - MLT,Other Scientist
RESEARCH COMPUTER SCIENTIST - RESEARCH ENGINEER - SR. COMPUTER SCIENTIST - SOFTWARE DEVELOPMENT,Other Scientist
Senior Scientist - Toxicologist - Product Integrity (Stewardship),Other Scientist
Senior Research Analytical Scientist-Non-Targeted Analysis,Other Scientist
Senior Scientist - Biostatistician,Other Scientist
"Associate Principal Scientist, Pharmacogenomics",Other Scientist
"Scientist, Immuno-Oncology",Other Scientist
"Sr Scientist, Immuno-Oncology - Oncology",Other Scientist
Research Scientist – Security and Privacy,Other Scientist
"Scientist – Cancer Discovery, Molecular Assay",Other Scientist
Associate Research Scientist I (Protein Expression and Production),Other Scientist
Senior Formulations Scientist II,Other Scientist
Research Scientist or Senior Research Scientist - Computer Vision,Other Scientist
Research Scientist / Principal Research Scientist - Multiphysical Systems,Other Scientist
"Principal Research Scientist/Team Lead, Medicinal Chemistry - Oncology",Other Scientist
Quality Control Scientist III- Analytical Development,Other Scientist
"Clinical Scientist, Clinical Development",Other Scientist
Software Engineer Staff Scientist: Human Language Technologies,Other Scientist
Scientist - CVRM Metabolism - in vivo pharmacology,Other Scientist
"Associate Scientist / Sr. Associate Scientist, Antibody Discovery",Other Scientist
Data Analyst,Data Analyst
Data Engineer I,Data Engineer
Associate Data Analyst,Data Analyst
Web Data Analyst,Data Analyst
Data Engineer,Data Engineer
Analytics Consultant,Data Analyst
Jr. Business Data Analyst,Data Analyst
Data Management Specialist,Not Available
E-Commerce Data Analyst,Data Analyst
Data Modeler,data modeler
Data Analyst / Scientist,Data Analyst
Financial Data Analyst,Data Analyst
Senior Data Analyst,Data Analyst
Senior Data Engineer,Data Engineer
Machine Learning Engineer,ML Engineer
Data Engineer 4 - Contract,Data Engineer
Data Analyst - Asset Management,Data Analyst
MongoDB Data Engineer II,Data Engineer
Data Engineer 5 - Contract (Remote),Data Engineer
Digital Marketing & ECommerce Data Analyst,Data Analyst
Excel / VBA / sql_ Data Analyst,Data Analyst
Machine Learning Research Scientist,ML Engineer
Radar Data Analyst,Data Analyst
Senior Data & Machine Learning Scientist,ML Engineer
Software Engineer - Data Visualization,Not Available
Staff Machine Learning Engineer,ML Engineer
Lead Data Engineer,Data Engineer
Marketing Data Analyst,Data Analyst
Senior Research Scientist-Machine Learning,ML Engineer
Sr. Data Engineer - Contract-to-Hire (Java),Data Engineer
Sr. Data Engineer,Data Engineer
"Business Data Analyst, sql_",Data Analyst
Business Intelligence Analyst / Developer,Data Analyst
System and Data Analyst,Data Analyst
Data & Analytics Consultant (NYC),Data Analyst
Big Data Engineer - Chicago - Future Opportunity,Data Engineer
Survey Data Analyst,Data Analyst
Lead Health Data Analyst - Front End,Data Analyst
Junior Data Analyst,Data Analyst
sql_ Data Engineer,Data Engineer
Insurance Financial Data Analyst,Data Analyst
Data Engineer I - Azure,Data Engineer
Information Security Data Analyst,Data Analyst
CONSULTANT– DATA ANALYTICS GROUP,Data Analyst
"Data Engineer, Data Engineering and Artifical Intelligence",Data Engineer
Sr. Data Analyst,Data Analyst
Program/Data Analyst,Data Analyst
"Principal Data Engineer, Data Platform & Insights",Data Engineer
Data Operations Lead,Not Available
Big Data Engineer,Data Engineer
Clinical Data Analyst,Data Analyst
Market Data Analyst,Data Analyst
Staff Data Engineer,Data Engineer
Associate Data Engineer,Data Engineer
Staff BI and Data Engineer,Data Engineer
"Director - Data, Privacy and AI Governance",director
Consultant - Analytics Consulting,Data Analyst
Machine Learning Engineer - Regulatory,ML Engineer
"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",Data Engineer
Associate Data Analyst- Graduate Development Program,Data Analyst
IT - Data Engineer II,Data Engineer
"Enterprise Architect, Data",Not Available
Corporate Risk Data Analyst (sql_ Based) - Milwaukee or,Data Analyst
"Marketing Data Analyst, May 2020 Undergrad",Data Analyst
Data Modeler - Data Solutions Engineer,data modeler
Sr Data Engineer (Sr BI Developer),Data Engineer
Salesforce Analytics Consultant,Data Analyst
"Technology-Minded, Data Professional Opportunities",Not Available
Lead Big Data Engineer,Data Engineer
Sr. Data Engineer (ETL Developer),Data Engineer
Analytics - Business Assurance Data Analyst,Data Analyst
"Associate Director/Director, Safety Scientist",director
Data Analyst Senior,Data Analyst
Lead Data Engineer (Python),Data Engineer
"Senior Operations Data Analyst, Call Center Operations",Data Analyst
Systems Engineer II - Data Analyst,Data Analyst
Sr Data Analyst - IT,Data Analyst
Principal Machine Learning Scientist,ML Engineer
"Data Analyst, Performance Partnership",Data Analyst
Software Data Engineer - College,Data Engineer
Data Engineer - Consultant (Charlotte Based),Data Engineer
"Data Analyst 1, full-time contract worker for up to 12 months",Data Analyst
Products Data Analyst II,Data Analyst
Lead Data Analyst,Data Analyst
IT Associate Data Analyst,Data Analyst
Business Data Analyst,Data Analyst
Data Analyst 2 (Missionary Department),Data Analyst
Supply Chain Data Analyst,Data Analyst
Data Engineer - ETL,Data Engineer
Data Modeler (Analytical Systems),data modeler
Senior Data Analyst/Scientist,Data Analyst
Data Engineering Analyst,Data Engineer
"Director, Precision Medicine Clinical Biomarker Scientist",director
Senior Quantitative Analyst,Data Analyst
Data Analyst Chemist - Quality System Contractor,Data Analyst
"Research Scientist, Machine Learning Department",ML Engineer
Foundational Community Supports Data Analyst,Data Analyst
"Senior Health Data Analyst, Star Ratings",Data Analyst
"Senior Engineer, Data Management Engineering",Not Available
Sr. Data Engineer | Big Data SaaS Pipeline,Data Engineer
Data Architect / Data Modeler,data modeler
Machine Learning Engineer (NLP),ML Engineer
